title,description,price,quantity,status,userId,hash,updatedBy,isArchived,dateCreate,dateUpdate,categoryId
Fuel System 1371,Optimal design for modern vessels 4441,5472.81,36,Unpublished,2,e0de27ca-08c5-4a45-a5a8-e4d34f0fe756,2,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,3
Engine 1800,Durable and built to last 2855,2501.71,16,Removed,2,171c6519-7def-4bc5-a564-b2c5738bf32c,2,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,2
Propeller 1528,Precision engineered for marine use 4662,6466.34,1,ZeroStock,5,687e2484-b9d0-44b6-945a-cf212b39257f,5,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,6
Fuel System 4432,State-of-the-art technology 961,132.11,95,Unpublished,4,2a342eba-c167-47e4-97f4-3754f9e74c36,4,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,4
Propeller 1106,Precision engineered for marine use 2601,5844.97,1,Published,2,1cd94ac3-ad5d-4137-b86a-99c64c9bd3d4,2,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,1
Propeller 2361,Precision engineered for marine use 3994,2012.16,95,ZeroStock,3,6261c5c8-c20e-4591-bf99-1c3eb734f3b2,3,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,2
Engine 43,Precision engineered for marine use 3791,6369.94,88,Published,4,edc7922d-1e9c-4598-bc99-4175a5f786d7,4,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,3
Navigation System 428,State-of-the-art technology 1559,8386.95,42,Published,5,12eb9478-54a3-4bac-9fc6-edf8a4c540af,5,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,5
Navigation System 580,Optimal design for modern vessels 4959,4793.86,8,Unpublished,2,03162df4-efae-4414-be2c-682b5d23963b,2,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,6
Propeller 487,State-of-the-art technology 4562,469.5,61,Published,3,a5ec442a-9d0c-43a1-8f54-0dfe9e3cf4a8,3,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,6
Propeller 2130,Precision engineered for marine use 4555,9513.14,67,Unpublished,2,ffd4025c-5474-4ba7-9ead-48bbfae3f7bb,2,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,5
Engine 4836,Efficient and environmentally friendly 3012,7276.54,23,Unpublished,4,accb7437-f07d-427b-b602-9fa0b76ea681,4,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,6
Deck Equipment 1331,Precision engineered for marine use 4734,5637.03,46,Removed,2,9bf2998e-326e-4933-b08c-185e0e7bf277,2,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,5
Navigation System 3663,State-of-the-art technology 4415,346.47,70,Unpublished,2,67c9ef94-75f5-491b-8e22-9e9068bbb98f,2,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,6
Propeller 3524,Efficient and environmentally friendly 2698,7645.79,39,Expired,4,5b456aa6-6fe3-48c9-a7e2-c3ac6f3af9d1,4,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,2
Deck Equipment 2080,Precision engineered for marine use 4111,2951.67,0,ZeroStock,5,c728f80d-66ab-4b64-8e45-3d1fdd089586,5,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,3
Propeller 534,High performance with excellent reliability 4990,174.25,27,Expired,2,0edc7baa-7e8f-471e-ac43-1b4b4bb81f88,2,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,3
Engine 1619,Efficient and environmentally friendly 1723,8928.46,24,Removed,3,0d25594e-80eb-4192-9387-25730b7ba721,3,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,6
Fuel System 1272,Precision engineered for marine use 1864,3013.13,81,ZeroStock,3,d4f5cfb3-e086-4fef-8bcd-0574dfe4dc0b,3,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,1
Propeller 1157,Precision engineered for marine use 2283,7450.23,65,Expired,2,e89c2de9-50a9-4097-b08a-ec441c7621c8,2,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,1
Propeller 1030,Efficient and environmentally friendly 2270,5576.72,18,Unpublished,3,ec4a99f0-49cc-40e9-b863-24a019dee001,3,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,2
Engine 2761,Efficient and environmentally friendly 3725,1936.33,62,Published,4,68f76194-4c8c-4505-a8bb-8faa215b2f40,4,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,4
Deck Equipment 2456,State-of-the-art technology 3910,2405.03,93,Published,2,f25b00a2-d282-402e-861d-c6c94f8a62c8,2,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,5
Fuel System 3213,Efficient and environmentally friendly 4093,4286.88,8,Expired,3,4ef01160-439f-4d1c-8300-95dcd22f72e8,3,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,2
Engine 2716,State-of-the-art technology 3440,4496.18,23,ZeroStock,2,41ab41e0-eb85-473f-84a0-19ce982e95a7,2,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,5
Navigation System 3259,Durable and built to last 2686,2842.35,65,Unpublished,3,d4b80eda-d85d-44fe-89f6-c6749cf7e1bb,3,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,4
Engine 248,Efficient and environmentally friendly 346,7640.44,52,Expired,5,4f5d5d7c-9205-4cdb-98de-3c0e8bae17b2,5,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,2
Fuel System 4124,Efficient and environmentally friendly 1974,1424.5,0,ZeroStock,4,9343a4f2-8bf2-4194-a3be-36b9b359f6da,4,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,5
Engine 3285,Durable and built to last 929,4589.17,36,Published,4,7f1c117d-1a19-465e-939a-6ab9187b1ebf,4,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,5
Propeller 713,State-of-the-art technology 2388,4037.83,20,Expired,4,74daace9-9b52-474a-b65e-9ab924531e90,4,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,6
Engine 2157,High performance with excellent reliability 1510,5732.14,73,ZeroStock,5,1085cd26-3b9f-4852-bfac-09e966ff1926,5,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,2
Propeller 3305,High performance with excellent reliability 598,9118.22,70,Expired,3,80b785af-fe11-4901-9263-693c709b9609,3,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,1
Hull 1360,High performance with excellent reliability 1006,1289.79,7,Published,5,999b88bd-c1fd-4685-82c1-72c0d2143ea0,5,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,6
Fuel System 4732,Efficient and environmentally friendly 500,2250.9,23,Expired,3,3e83f734-fde8-4a30-9113-077152a19f4c,3,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,5
Fuel System 1834,Optimal design for modern vessels 2540,3673.98,47,Published,2,00a3283f-b5f7-4f01-b8bf-fc989373e3fb,2,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,6
Navigation System 3447,Efficient and environmentally friendly 1654,6680.86,91,Published,2,d3392def-2cfd-47a5-bc8b-24f0c8702055,2,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,1
Hull 3747,High performance with excellent reliability 13,1572.35,29,ZeroStock,3,28c84442-0e71-4c48-982a-0133b22567dc,3,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,1
Deck Equipment 4020,Efficient and environmentally friendly 2051,356.3,73,Published,5,e537c80c-87e9-4513-b6c8-be7d2e08a66a,5,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,5
Hull 4631,Durable and built to last 3068,5318.59,36,Published,3,3dfaf3e1-02fb-4687-981e-334e38ae6656,3,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,2
Navigation System 2569,Durable and built to last 3253,4169.51,16,Removed,3,27c0583e-c04a-45a1-a145-c92b988133d1,3,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,2
Propeller 2391,High performance with excellent reliability 4688,3245.64,75,Published,4,02344500-9460-4185-8282-16c7f4aef758,4,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,2
Engine 4,Durable and built to last 2847,5492.1,27,Expired,4,83e64f31-1b47-4232-9724-510848541ec9,4,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,6
Fuel System 165,Precision engineered for marine use 4890,9302.39,91,ZeroStock,2,700f3e7a-1764-4e60-8c39-10d4584696d4,2,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,4
Fuel System 2461,Optimal design for modern vessels 4709,2224.65,46,Removed,2,078d37d4-d1ae-4681-b4b1-2656e8d0e509,2,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,6
Fuel System 282,Efficient and environmentally friendly 2915,2840.96,37,Published,4,cac25479-6a99-48d5-8fef-09b89eaf1242,4,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,5
Deck Equipment 1900,Precision engineered for marine use 784,8093.75,21,Unpublished,5,811d968c-571a-4f10-87bc-34b626201029,5,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,4
Navigation System 4728,Optimal design for modern vessels 3407,1333.55,65,Unpublished,3,b0c1b55b-e5f3-403e-b211-8ba6d630f961,3,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,3
Propeller 3898,High performance with excellent reliability 3666,9855.34,74,Expired,4,fdba6d2c-a6b6-4e9e-94a7-a22ce370cc01,4,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,4
Deck Equipment 3218,High performance with excellent reliability 3330,7263.11,69,ZeroStock,4,837dfce1-02b5-4f60-be42-b2e7f91e1b13,4,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,5
Engine 4613,Precision engineered for marine use 4303,3129.78,76,Expired,3,8e51a1e9-04f5-418a-8fbc-b05ba60ad0cf,3,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,6
Deck Equipment 1038,Durable and built to last 3412,1734.67,12,Expired,3,63b5501f-a1f4-44c5-b640-f6dad5c6184a,3,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,6
Navigation System 4366,Durable and built to last 1512,5714.22,65,ZeroStock,3,902be232-d56a-4fbe-b8b1-9632a0d19f3e,3,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,2
Fuel System 757,Precision engineered for marine use 4231,4601.06,39,Published,3,5fd7dc3e-67aa-4f2f-953e-ca16f6997ed1,3,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,2
Engine 802,High performance with excellent reliability 592,6373.8,62,Expired,4,d83399b8-188b-402e-b5eb-31810392a4e9,4,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,5
Propeller 282,High performance with excellent reliability 4954,3884.09,70,Expired,3,c3b9b181-a0aa-4e87-97f6-2be206e1e682,3,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,2
Deck Equipment 4578,State-of-the-art technology 1079,6516.88,70,Removed,5,6ab41ed6-29f3-4204-b962-422e0cb66435,5,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,4
Navigation System 4253,Durable and built to last 4813,532.76,58,Unpublished,2,a66119d8-786e-4eb6-a220-6221c6c3e5f8,2,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,6
Hull 1582,Durable and built to last 3388,208.39,80,Unpublished,5,bde89295-b859-40e8-a642-3dea3818c4fc,5,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,3
Fuel System 4173,Optimal design for modern vessels 3796,3183.34,19,Unpublished,4,47d35349-d4dc-441c-afb3-3f8cc8c1c454,4,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,4
Engine 4038,Precision engineered for marine use 3726,8670.56,25,ZeroStock,2,9f0fa6ff-8660-4f6f-9c2b-83e0949fab0c,2,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,4
Fuel System 1377,Durable and built to last 27,4459.75,14,Expired,3,f6171d26-ee6b-4d83-ade2-47f87da66de5,3,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,2
Propeller 1493,High performance with excellent reliability 2931,5576.49,63,Expired,3,a1cf3ab1-709c-4bd6-9fc0-7efcb622b143,3,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,4
Propeller 1046,High performance with excellent reliability 1894,6265.01,42,Unpublished,3,a91f6d4f-65c1-43cc-ba07-26a66368035d,3,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,4
Engine 4028,Efficient and environmentally friendly 3066,1902.9,84,Expired,2,c779b15f-d53a-4569-b2bb-a3f2acb76ddf,2,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,3
Deck Equipment 559,Precision engineered for marine use 1132,2139.32,77,Published,2,4ae2eb97-7f39-4466-b4a1-d78c506195eb,2,False,2024-09-29 14:42:38.342024,2024-09-29 14:42:38.342024,2
